from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
VIE,Austria,IST,Turkey,Airbus A321|Airbus A319|Airbus A321neo,multi,[Austrian| Lufthansa],OS151|OS151|OS151,2022-05-06 07:30:00,2022-05-06 16:55:00,505,2,264.0,USD,338000.0,143000.0,136%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A321|Airbus A321neo,multi,[Austrian| Lufthansa],OS111|OS111|OS111,2022-05-06 06:25:00,2022-05-06 16:55:00,570,2,268.0,USD,305000.0,143000.0,113%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A321|Airbus A321neo,multi,[Austrian| Lufthansa],OS111|OS111|OS111,2022-05-06 06:25:00,2022-05-06 16:55:00,570,2,268.0,USD,305000.0,143000.0,113%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Airbus A319|Airbus A321neo,multi,[Austrian| Lufthansa],OS111|OS111|OS111,2022-05-06 06:25:00,2022-05-06 16:55:00,570,2,268.0,USD,311000.0,143000.0,117%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo,LH,[Lufthansa],LH1235|LH1235,2022-05-06 11:10:00,2022-05-06 21:15:00,545,1,299.0,USD,260000.0,143000.0,82%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A321|Airbus A321neo,multi,[Austrian| Lufthansa],OS151|OS151|OS151,2022-05-06 07:30:00,2022-05-06 21:15:00,765,2,302.0,USD,333000.0,143000.0,132%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A319|Airbus A321neo,multi,[Austrian| Lufthansa],OS151|OS151|OS151,2022-05-06 07:30:00,2022-05-06 21:15:00,765,2,302.0,USD,338000.0,143000.0,136%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Canadair RJ 900|Airbus A320neo|Airbus A321neo,LH,[Lufthansa],LH2329|LH2329|LH2329,2022-05-06 13:15:00,2022-05-06 21:15:00,420,2,306.0,USD,301000.0,143000.0,110%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321 (Sharklets)|Airbus A320neo,BA,[British Airways],BA701|BA701,2022-05-06 14:25:00,2022-05-06 23:55:00,510,1,326.0,USD,352000.0,143000.0,146%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320neo,multi,[Austrian| Lufthansa],OS127|OS127,2022-05-06 20:10:00,2022-05-07 13:00:00,950,1,353.0,USD,248000.0,143000.0,73%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321|Airbus A321neo,LH,[Lufthansa],LH2325|LH2325|LH2325,2022-05-06 09:10:00,2022-05-06 16:55:00,405,2,358.0,USD,295000.0,143000.0,106%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320neo|Airbus A321neo,LH,[Lufthansa],LH2325|LH2325|LH2325,2022-05-06 09:10:00,2022-05-06 21:15:00,665,2,358.0,USD,281000.0,143000.0,96%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A320neo,multi,[Austrian| Lufthansa],OS125|OS125,2022-05-06 17:10:00,2022-05-07 13:00:00,1130,1,367.0,USD,248000.0,143000.0,73%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo|Airbus A321neo,multi,[Austrian| Lufthansa],OS223|OS223|OS223,2022-05-06 07:00:00,2022-05-06 16:55:00,535,2,389.0,USD,310000.0,143000.0,117%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321|Airbus A321neo,multi,[Austrian| Lufthansa],OS223|OS223|OS223,2022-05-06 07:00:00,2022-05-06 16:55:00,535,2,389.0,USD,325000.0,143000.0,127%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Embraer 195|Canadair RJ 900|Airbus A321neo,multi,[Austrian| Lufthansa],OS135|OS135|OS135,2022-05-06 06:30:00,2022-05-06 16:55:00,565,2,393.0,USD,314000.0,143000.0,119%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A319|Airbus A321neo,multi,[Austrian| Lufthansa],OS291|OS291|OS291,2022-05-06 08:25:00,2022-05-06 16:55:00,450,2,395.0,USD,330000.0,143000.0,131%,2022-04-29 17:52:59
